Employee ID,First Name,Last Name,Email,Phone Number,Address,Hire Date,Department,Position,Salary,Performance Score,Projects Completed,Attendance Rate (%)
2824,Kendra,Becker,sarahcampos@hotmail.com,(872)774-3487x34714,"1390 Kristin Gardens
Port Anne, WV 73142",2020-01-25,Sales,Holiday representative,64930,2.5,18,86.24
1409,Tracie,Carlson,raymond57@hayes.com,455.812.2362,"52904 Vanessa Plains
Laurenville, AK 17776",2022-06-17,IT,Careers information officer,24420,4.8,26,77.39
5506,Melissa,Cruz,adrianzimmerman@perez.com,001-316-658-7603x669,"502 Williams Streets
Foxland, NV 47954",2023-03-28,Sales,Logistics and distribution manager,98173,3.93,44,84.27
5012,Michelle,Carlson,joshuawashington@anderson.info,001-096-705-4668x893,"8390 Ellis Burgs
South Melaniechester, CT 64761",2022-03-05,Marketing,Private music teacher,37941,3.39,34,91.72
4657,Norman,Mcdonald,maguirre@davis.com,346.706.5627x2980,"15921 Joshua Roads Suite 698
Shawnchester, WY 92484",2016-12-07,Marketing,Furniture conservator/restorer,4910,1.62,10,91.65
3286,Shawn,King,uowens@gmail.com,(990)162-7204x6537,"7365 Ross Stream
West Ronaldview, FL 90524",2023-03-04,Sales,Quality manager,1214,1.62,36,89.78
2679,Mary,Tran,powellmatthew@wright.net,564-641-7080x53100,"PSC 1111, Box 6152
APO AP 08362",2016-10-11,HR,"Engineer, site",39110,1.23,14,81.87
9935,Francisco,Dunlap,robertramirez@gmail.com,309.232.7193,"165 Parrish Stravenue Apt. 494
Dalehaven, FL 86580",2019-12-24,IT,"Engineer, drilling",74443,4.46,31,89.03
2424,Michael,Frazier,jmorton@williams.com,452.991.2419x049,"8514 Lindsay Vista
New Sarahview, HI 36319",2019-10-27,Marketing,Solicitor,79007,3.4,48,84.57
7912,Elizabeth,Wilson,gabrieltucker@hancock.com,+1-663-193-1491x90586,"5022 Jones Streets Apt. 183
Barnesmouth, MN 41347",2017-03-01,IT,Geoscientist,14064,3.83,15,99.29
1520,Jacqueline,Dyer,gallowayjoseph@yahoo.com,+1-518-506-7165x72628,"22901 Ramos Manors
Lawsonchester, IL 99452",2021-01-31,Marketing,"Surveyor, planning and development",43914,1.08,8,96.22
1488,Frances,Potter,uhorton@hotmail.com,+1-498-776-9453x1473,"1497 Williams Locks Apt. 034
Port Derrick, LA 43508",2019-06-29,Finance,Glass blower/designer,37298,4.88,14,93.04
2535,Charles,Mack,jamesrobinson@gmail.com,001-799-650-7527x35454,"622 Patel Forks Suite 160
Smithland, MD 75966",2020-02-15,Sales,"Copywriter, advertising",59552,4.33,23,80.9
4582,Cynthia,Peterson,brian97@calhoun.net,+1-480-831-3678x377,"641 Smith Islands Apt. 975
South Meganbury, OR 52988",2023-01-12,Marketing,Clinical embryologist,84058,1.85,40,81.4
4811,Amanda,Carter,caseyjones@powell.com,014.363.4957x885,"5352 William Crescent Apt. 552
North Dwayne, HI 79458",2023-01-27,Sales,Warden/ranger,71211,1.73,21,76.01
9279,John,Moore,barnesbrandy@stewart.com,(855)744-4313x51823,"77997 Lin Road
Edwardland, NV 83257",2023-06-16,Finance,Theatre director,68723,1.73,16,92.77
1434,Steven,Smith,randy47@hickman-walls.com,749.894.1343,"058 Lance Mission Apt. 054
Lake Michelleland, PA 66963",2022-09-25,IT,Film/video editor,64738,2.22,45,77.77
4257,Joseph,Bowen,jonesjason@yahoo.com,(240)824-0084x271,"9359 Mason Circle
Garciamouth, CO 66633",2023-12-23,Sales,Financial manager,17589,3.1,18,85.98
9928,Sara,Cortez,nicole35@moore-bass.com,9477752047,"77889 Michael Haven
Ortizmouth, PA 07364",2019-07-02,Marketing,Arts administrator,66088,2.73,47,80.04
7873,Hailey,Stanton,sarah12@wilson-rodriguez.net,167-190-2294,"51864 Cummings Shoals Apt. 519
West Kyle, UT 87288",2022-06-24,Finance,Set designer,61344,2.16,24,97.39
4611,Jeffrey,Gill,juan35@watts.net,318-699-9386,"8652 Debbie Manors
Andrewport, IL 45292",2014-09-07,Marketing,Equities trader,35761,3.45,26,86.88
8359,Mark,Romero,rebecca01@hotmail.com,749.649.9091x334,"USCGC Lee
FPO AE 20809",2020-08-31,Finance,"Exhibitions officer, museum/gallery",25272,1.56,25,89.08
5557,Kayla,Rodriguez,bradley52@hotmail.com,+1-123-281-2067x97403,"880 Walter River
New Nicholas, HI 91313",2020-01-14,Finance,Associate Professor,14764,2.17,45,92.39
1106,Brian,Garrett,joycearnold@yahoo.com,471-349-3618x3242,"706 Rhodes Freeway
Bishopmouth, ND 31849",2016-04-07,Marketing,Chiropodist,43343,2.47,41,78.48
3615,Lydia,Skinner,jonesnicole@gardner.org,024-994-7174,"59774 Shaw Manor Apt. 392
Brettfort, MN 73185",2021-06-27,Sales,Patent attorney,21298,2.82,29,90.11
7924,Linda,Romero,tanderson@nolan-flynn.com,001-648-877-1906x594,"USS Mitchell
FPO AE 36256",2024-04-30,IT,Lawyer,95829,4.14,15,88.5
6574,Richard,Gonzalez,evelynestrada@yahoo.com,1399049027,"1375 Robert Locks
Joeland, IN 04195",2019-08-20,IT,Public house manager,60150,1.8,45,80.08
5552,Carl,Brooks,sarayoung@gmail.com,742.967.1756x55125,"522 Justin Village
Hortonberg, VT 61988",2014-11-08,Finance,Chiropodist,84972,3.06,1,98.57
3547,Robin,Martin,vjohnson@patton-jenkins.com,(746)807-1545x16808,"04328 Rodriguez Heights
West David, MT 84249",2022-06-23,Marketing,"Copywriter, advertising",33720,3.37,25,89.97
4527,Ashley,Ashley,kristinrodriguez@gmail.com,603.859.7703x482,"17980 Jennifer Highway Suite 095
New Robert, TN 11722",2018-12-01,Finance,"Accountant, chartered public finance",94188,1.19,7,92.37
6514,Jennifer,Nielsen,jamessellers@yahoo.com,771-093-2480x8613,"88888 Peter Mountains Apt. 654
West Kristinastad, VA 86628",2024-03-29,IT,Statistician,24405,3.43,9,97.01
2674,Jason,Sellers,jeffreykeller@yahoo.com,712-748-4677,"05852 Pollard Neck Apt. 217
West Jamesborough, AZ 41866",2024-03-24,Finance,"Designer, industrial/product",1846,1.68,24,90.61
2519,Victor,George,michelle45@hotmail.com,782.639.8214,"USCGC Hays
FPO AP 62550",2018-04-09,Finance,Optometrist,96549,1.26,1,82.39
7224,Nicole,Burns,sheila14@gmail.com,001-658-404-4997x27875,"5054 Lauren Mews
Paulfurt, HI 65539",2015-04-11,IT,Publishing copy,44185,4.8,44,77.64
2584,Dawn,Rodriguez,rodriguezryan@hotmail.com,886-753-3963x60576,"416 Ryan View Apt. 845
North Markport, NV 79487",2024-04-29,Sales,Publishing rights manager,38669,4.86,8,86.41
6881,Douglas,Cox,gobrien@gmail.com,(270)289-5171x8702,"757 Jessica Knoll
Hillton, TN 84061",2022-07-29,Finance,"Engineer, communications",74420,4.23,24,80.46
6635,Donald,Galloway,jonathanfletcher@gmail.com,(217)459-6158x65780,"29702 Joel Rue
Michaelshire, PA 20612",2017-04-20,Sales,Holiday representative,88395,2.22,11,85.41
5333,Julie,Roman,ryan59@alvarado-martinez.com,+1-134-316-1172x400,"7192 Sanders Run Suite 310
South April, OH 15936",2023-04-27,Finance,IT sales professional,99258,1.39,17,97.08
1711,Amber,Allen,snguyen@yahoo.com,045-562-3869x22219,"739 Benson Overpass Apt. 121
Thompsonmouth, TX 42390",2020-11-13,Marketing,Higher education lecturer,25318,3.74,8,83.11
8527,Julie,Allen,robertbentley@adkins.biz,(937)923-7474x0748,"844 Jennifer Squares
Port Michael, DE 26843",2016-11-30,Finance,Barrister's clerk,23002,2.76,35,78.05
9785,Ross,Bradley,justin69@pena.com,(175)946-4743,"0589 Mcdonald Plaza
New Nicole, ME 52688",2018-07-09,Finance,Chartered public finance accountant,80079,1.49,35,83.91
3045,Brandy,Miller,donnacampbell@hotmail.com,(713)695-9440x6409,"Unit 7866 Box 9125
DPO AP 10221",2014-12-09,HR,"Teacher, secondary school",83719,2.98,33,97.67
7201,Michael,Dennis,cardenaskaren@hotmail.com,+1-097-439-5339x42104,"89226 Marie Path Apt. 422
Sarahbury, NC 37731",2024-02-21,Marketing,Exhibition designer,53148,1.14,5,81.8
2291,Wendy,Cabrera,lindsayhernandez@gmail.com,095.214.5623x285,"84249 Wayne Extension Apt. 299
Meganshire, AK 11147",2016-04-08,Marketing,Social researcher,56059,4.64,42,91.19
5803,Devon,Spence,xcarr@gibson.org,842.474.5171x23685,"396 Tyler Road Suite 473
Evansland, AR 21220",2017-08-24,Sales,Applications developer,67538,2.04,39,75.01
6925,Trevor,Patel,psnyder@douglas.com,604-817-5496,"3592 Hensley Island Suite 625
West Johnville, NV 32996",2014-09-21,Sales,Economist,42982,3.65,41,83.81
4150,Katelyn,Martinez,gregoryrubio@hotmail.com,+1-513-709-8593x1746,"6963 Lisa Ports
Jamesburgh, NY 61687",2021-11-26,Finance,Pensions consultant,11368,2.25,28,82.62
2139,Michelle,Keller,grantsamantha@gmail.com,200-471-1382,"0168 Levy Forge Suite 004
Harperfort, ND 01572",2019-09-27,IT,"Editor, commissioning",52538,3.08,7,79.12
1750,Eric,Arroyo,lauriecontreras@hotmail.com,(758)692-6179x6405,"45650 Williams Points Apt. 584
South Williamside, RI 89682",2021-07-11,Finance,Animator,87720,3.19,9,88.35
4733,Ernest,Martin,usalazar@hotmail.com,773.515.8506,"65585 James Pass
Porterton, DC 94032",2016-12-22,HR,Occupational psychologist,12502,1.74,8,87.12
