Student ID,First Name,Last Name,Email,Phone Number,Address,Date of Birth,Major,Year,GPA,Grade Math,Grade English,Grade History,Grade Science
6500,Јован,Митрев,tiffany25@fernandez-martin.com,(784)271-1477x3201,"Mary Circles 17993, Битола",2001-11-05,Инженерство,Трета година,3.69,7.96,6.94,8.86,9.65
1898,Виктор,Трајковски,sullivanvictor@gould.com,001-017-026-9524x9911,"Kent Loaf 57173, Прилеп",2005-10-16,Компјутерски науки,Четврта година,3.5,8.89,8.54,8.4,6.99
9433,Горан,Ивановски,deborah47@montes-webster.org,+1-877-347-7848x58800,"Brown Mews 39726, Куманово",2003-12-30,Компјутерски науки,Четврта година,2.06,9.28,9.63,9.31,8.31
6963,Елена,Марковски,hmorgan@mendoza.com,(167)567-7002x84276,"Stephanie Route 11926, Гостивар",2004-09-24,Математика,Прва година,3.73,8.87,7.26,9.84,6.66
1844,Иван,Јорданов,moralesmary@yahoo.com,(467)197-8897,"Wolfe Ridge 931, Гостивар",2003-07-09,Математика,Втора година,2.71,8.14,8.35,7.37,6.14
2818,Горан,Митрев,nguyencathy@gmail.com,828.064.7969x5450,"Laura Spur 7220, Скопје",2004-07-29,Инженерство,Трета година,2.79,7.91,8.73,6.91,7.25
7274,Цветан,Ивановски,james18@rhodes-rosario.net,9025590561,"Nelson Unions 49673, Гостивар",2002-07-17,Инженерство,Втора година,2.21,9.35,7.81,7.69,9.12
6989,Дејан,Јорданов,tracymorrison@hotmail.com,(556)503-3349x11415,"Schwartz Shores 4214, Скопје",2000-12-22,Инженерство,Четврта година,3.47,6.82,8.86,7.15,7.11
8624,Петар,Митрев,raymond65@watson-mitchell.com,(085)076-9864,"Ford Dam 625, Велес",2003-08-30,Компјутерски науки,Трета година,2.36,9.87,9.6,8.46,6.88
1669,Дејан,Димитров,fsawyer@gmail.com,7905696591,"Ramirez Stream 3356, Гостивар",2005-04-26,Инженерство,Четврта година,3.13,8.84,8.5,9.65,6.85
7003,Жарко,Кузмановски,slara@gmail.com,135.785.2945x6371,"Caitlyn Stravenue 9145, Охрид",2003-08-25,Биологија,Втора година,3.68,6.8,8.16,6.56,8.06
3871,Ристе,Петровски,ltaylor@hotmail.com,+1-344-049-6391,"Waters Brook 2006, Штип",2001-06-20,Математика,Втора година,2.18,8.94,7.75,6.4,9.9
2097,Филип,Митрев,jaredwells@hatfield.biz,001-919-541-9876x351,"Waters Brook 2006, Штип",2004-04-10,Математика,Трета година,3.07,8.12,8.31,7.02,7.84
